lat,lon,TYPE
49.2787795,-123.115947,Other Theft
49.28571354,-123.1193051,Other Theft
49.28571354,-123.1193051,Other Theft
49.28570719,-123.1191347,Other Theft
49.28570719,-123.1191347,Other Theft
49.28570719,-123.1191347,Other Theft
49.28570719,-123.1191347,Other Theft
49.28570719,-123.1191347,Other Theft
49.28570719,-123.1191347,Other Theft
49.28572473,-123.1191071,Other Theft
49.28063721,-123.1152108,Other Theft
49.28063721,-123.1152108,Other Theft
49.28063721,-123.1152108,Other Theft
49.28063721,-123.1152108,Other Theft
49.28606443,-123.1187531,Other Theft
49.28604054,-123.1186103,Other Theft
49.28604054,-123.1186103,Other Theft
49.28647915,-123.1179203,Other Theft
49.28793577,-123.1239752,Other Theft
49.29132045,-123.1295362,Other Theft
49.29132045,-123.1295362,Other Theft
49.27610551,-123.1246738,Other Theft
49.27610551,-123.1246738,Other Theft
49.28477196,-123.1288024,Break and Enter Residenti
49.2854328,-123.12795,Break and Enter Residenti
49.28276577,-123.115152,Other Theft
49.28286921,-123.1151322,Other Theft
49.28286921,-123.1151322,Other Theft
49.28286921,-123.1151322,Other Theft
49.28286921,-123.1151322,Other Theft
49.28256327,-123.1146653,Other Theft
49.28252928,-123.1146134,Other Theft
49.28236919,-123.1145468,Other Theft
49.28236919,-123.1145468,Other Theft
49.28236919,-123.1145468,Other Theft
49.28236919,-123.1145468,Other Theft
49.28244996,-123.1144924,Other Theft
49.2870645,-123.1132568,Other Theft
49.27790518,-123.117244,Break and Enter Residenti
49.28167288,-123.1212861,Break and Enter Residenti
49.28694354,-123.1133976,Other Theft
49.28627861,-123.112296,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
49.28376743,-123.1160956,Other Theft
