lat,lon,TYPE,YEAR,MONTH,DAY,HOUR,date,elev
49.28229116,-123.1183293,Break and Enter Commercia,2012,9,18,9,2012-09-18,0
49.28316089,-123.1208972,Break and Enter Commercia,2012,4,8,9,2012-04-08,0
49.287096,-123.1284852,Break and Enter Commercia,2012,3,27,21,2012-03-27,0
49.287096,-123.1284852,Break and Enter Commercia,2012,4,3,21,2012-04-03,0
49.28736626,-123.127914,Break and Enter Commercia,2012,11,17,3,2012-11-17,0
49.28528635,-123.1199165,Break and Enter Residenti,2012,4,20,14,2012-04-20,0
49.28177834,-123.1205502,Break and Enter Commercia,2012,12,27,8,2012-12-27,0
49.28149115,-123.1200985,Break and Enter Commercia,2012,1,26,5,2012-01-26,0
49.28481946,-123.1246022,Break and Enter Commercia,2012,6,4,22,2012-06-04,0
49.28248083,-123.1182307,Break and Enter Commercia,2012,8,17,18,2012-08-17,0
49.28248083,-123.1182307,Break and Enter Commercia,2012,9,28,17,2012-09-28,0
49.28248083,-123.1182307,Break and Enter Commercia,2012,10,22,2,2012-10-22,0
49.28571375,-123.1143716,Break and Enter Commercia,2012,1,1,23,2012-01-01,0
49.28465368,-123.1149397,Break and Enter Commercia,2012,5,7,9,2012-05-07,0
49.27968174,-123.1366923,Theft of Vehicle,2012,9,19,6,2012-09-19,0
49.28446427,-123.1311604,Theft of Vehicle,2012,1,2,17,2012-01-02,0
49.28378576,-123.1182244,Break and Enter Residenti,2012,12,10,18,2012-12-10,0
49.28866157,-123.1261948,Break and Enter Residenti,2012,8,25,18,2012-08-25,0
49.28067845,-123.1358697,Theft of Vehicle,2012,7,22,21,2012-07-22,0
49.27723713,-123.1145919,Break and Enter Commercia,2012,6,10,4,2012-06-10,0
49.27742968,-123.1141184,Break and Enter Commercia,2012,12,12,3,2012-12-12,0
49.29028728,-123.1340599,Break and Enter Commercia,2012,4,9,3,2012-04-09,0
49.28283123,-123.1235832,Break and Enter Commercia,2012,10,12,22,2012-10-12,0
49.28477932,-123.1289699,Break and Enter Commercia,2012,5,7,5,2012-05-07,0
